10001,11-01-2024,p001,1,1800 
10002,12-01-2024,p002,1,1900                  
10003,10-02-2024,p003,1,1850         
10004,30-02-2024,p004,1,2000
10005,21-03-2024,p005,1,1800
10006,30-03-2024,p006,1,1900                                
10007,07-04-2024,p007,1,1700
10008,28-04-2024,p008,1,1900
10009,03-05-2024,p009,1,1700
10010,06-05-2024,p010,1,1900
10011,23-06-2024,p001,2,3600
10012,27-06-2024,p002,2,3800
10013,18-07-2024,p003,2,3700
10014,02-08-2024,p004,2,4000
10015,05-08-2024,p005,2,3600
10016,09-09-2024,p006,2,3800
10017,01-10-2024,p007,2,3400
10018,14-11-2024,p008,2,3800
10019,20-11-2024,p009,2,3400
10020,17-12-2024,p010,2,3800
